Tissue,Chc1,Sid1L
HF,0.189464571,0.073302184
HF,0.052921582,0.002290693
HF,0.133971683,0.01674646
HF,0.325335464,0.023195681
HF,0.360982299,0.015625
AG,0.147624083,0.011517728
AG,0.186856156,0.013415085
AG,0.2381595,0.035896824
AG,0.145591698,0.02683017
AG,0.170755032,0.074325445
HP/DG,0.334481889,0.006045176
HP/DG,0.205897754,0.005262631
HP/DG,0.835087919,0.020760716
HP/DG,0.170755032,0.00786684
HP/DG,0.486327474,0.006944083
OV,0.435275282,0.042393885
OV,0.438302861,0.01067219
OV,0.456915725,0.028955877
OV,0.318640157,0.02179287
OV,0.384218795,0.045122787
T,0.244855074,0.062068281
T,0.047366143,0.004842608
T,0.10732068,0.007976657
T,0.147624083,0.039554894
T,0.094077922,0.012344395
