ID,Description,Gene count,Background gene count,Strength,Signal,FDR,Category,,
GO:0016442,RISC complex,6,6,2.53,3.14,9.90E-11,CC,,
GO:0000932,P-body,8,51,1.73,2.53,8.51E-10,CC,,
GO:0036464,Cytoplasmic ribonucleoprotein granule,10,107,1.5,2.42,2.61E-10,CC,,
GO:1902555,Endoribonuclease complex,4,23,1.77,1.26,7.03E-05,CC,,
GO:1990904,Ribonucleoprotein complex,12,578,0.85,0.98,9.81E-06,CC,,
GO:0030136,Clathrin-coated vesicle,4,44,1.49,0.95,0.00058,CC,,
GO:0032991,Protein-containing complex,38,3527,0.56,0.93,2.13E-11,CC,,
GO:0070578,RISC-loading complex,2,2,2.53,0.87,0.0019,CC,,
GO:0099080,Supramolecular complex,12,659,0.79,0.86,3.62E-05,CC,,
GO:0030139,Endocytic vesicle,4,55,1.39,0.86,0.0011,CC,,
GO:0003725,Double-stranded RNA binding,9,36,1.93,3.29,3.55E-12,MF,,
GO:0003723,RNA binding,28,1012,0.97,2.01,8.56E-17,MF,,
GO:0004540,Ribonuclease activity,8,93,1.47,1.82,1.31E-07,MF,,
GO:0004518,Nuclease activity,10,169,1.3,1.81,2.95E-08,MF,,
GO:0140098,"Catalytic activity, acting on RNA",14,409,1.07,1.6,6.38E-09,MF,,
GO:0016896,"Exoribonuclease activity, producing 5-phosphomonoesters",5,35,1.69,1.44,1.32E-05,MF,,
GO:0070883,pre-miRNA binding,3,3,2.53,1.41,3.90E-05,MF,,
GO:0004534,5-3 exoribonuclease activity,3,4,2.41,1.35,5.74E-05,MF,,
GO:0004527,Exonuclease activity,6,77,1.42,1.33,1.48E-05,MF,,
GO:0042626,ATPase-coupled transmembrane transporter activity,9,218,1.15,1.32,2.65E-06,MF,,
GO:0031047,Gene silencing by RNA,13,61,1.86,4.29,9.83E-17,BP,,
GO:0010629,Negative regulation of gene expression,20,325,1.32,3.06,5.09E-17,BP,,
GO:0035196,miRNA processing,7,16,2.17,2.88,3.64E-10,BP,,
GO:0031054,pre-miRNA processing,5,8,2.33,2.24,6.95E-08,BP,,
GO:0006401,RNA catabolic process,10,116,1.47,2.18,2.54E-09,BP,,
GO:0006402,mRNA catabolic process,9,94,1.51,2.09,1.20E-08,BP,,
GO:0016441,Post-transcriptional gene silencing,5,13,2.12,2.03,2.56E-07,BP,,
GO:0035195,miRNA-mediated gene silencing,4,4,2.53,1.96,6.88E-07,BP,,
GO:0017148,Negative regulation of translation,8,81,1.53,1.93,6.65E-08,BP,,
GO:0034655,Nucleobase-containing compound catabolic process,11,214,1.24,1.75,2.65E-08,BP,,
